2.16745735e+00,4.72424983e+00,2.79991288e+00,4.72424983e+00,2.36289686e+00,4.12274888e+00,2.99535239e+00,4.12274888e+00
2.16745735e+00,4.72424983e+00,1.65579008e+00,5.09599787e+00,2.36289686e+00,4.12274888e+00,1.85122959e+00,4.49449691e+00
1.02333455e+00,5.09599787e+00,1.65579008e+00,5.09599787e+00,5.11667274e-01,4.72424983e+00,1.14412281e+00,4.72424983e+00
1.02333455e+00,5.09599787e+00,5.11667274e-01,5.46774590e+00,5.11667274e-01,4.72424983e+00,-1.20714193e-16,5.09599787e+00
1.65579008e+00,5.09599787e+00,1.14412281e+00,4.72424983e+00,1.85122959e+00,4.49449691e+00,1.33956231e+00,4.12274888e+00
3.16227766e-01,4.12274888e+00,5.11667274e-01,4.72424983e+00,-1.95439508e-01,4.49449691e+00,-9.69189039e-18,5.09599787e+00
3.16227766e-01,4.12274888e+00,5.11667274e-01,4.72424983e+00,5.11667274e-01,3.52124792e+00,7.07106781e-01,4.12274888e+00
3.16227766e-01,4.12274888e+00,-1.95439508e-01,4.49449691e+00,-1.95439508e-01,3.75100084e+00,-7.07106781e-01,4.12274888e+00
3.16227766e-01,4.12274888e+00,-1.95439508e-01,3.75100084e+00,5.11667274e-01,3.52124792e+00,-9.69189039e-18,3.14949989e+00
5.11667274e-01,4.72424983e+00,1.14412281e+00,4.72424983e+00,7.07106781e-01,4.12274888e+00,1.33956231e+00,4.12274888e+00
-8.27895040e-01,4.49449691e+00,-1.95439508e-01,4.49449691e+00,-6.32455532e-01,5.09599787e+00,-9.69189039e-18,5.09599787e+00
-8.27895040e-01,4.49449691e+00,-1.95439508e-01,4.49449691e+00,-1.33956231e+00,4.12274888e+00,-7.07106781e-01,4.12274888e+00
-8.27895040e-01,4.49449691e+00,-6.32455532e-01,5.09599787e+00,-1.33956231e+00,4.12274888e+00,-1.14412281e+00,4.72424983e+00
-1.95439508e-01,3.75100084e+00,-7.07106781e-01,4.12274888e+00,-9.69189039e-18,3.14949989e+00,-5.11667274e-01,3.52124792e+00
-1.97201785e+00,4.12274888e+00,-1.33956231e+00,4.12274888e+00,-2.48368512e+00,4.49449691e+00,-1.85122959e+00,4.49449691e+00
-1.97201785e+00,4.12274888e+00,-1.33956231e+00,4.12274888e+00,-2.48368512e+00,3.75100084e+00,-1.85122959e+00,3.75100084e+00
