1.57697155e+00,-5.40923917e+00,1.06530428e+00,-5.78098721e+00,1.06530428e+00,-5.03749114e+00,5.53637006e-01,-5.40923917e+00
1.57697155e+00,-5.40923917e+00,1.06530428e+00,-5.03749114e+00,1.77241106e+00,-4.80773822e+00,1.26074379e+00,-4.43599018e+00
1.06530428e+00,-5.03749114e+00,5.53637006e-01,-5.40923917e+00,1.26074379e+00,-4.43599018e+00,7.49076514e-01,-4.80773822e+00
-7.11274058e-01,-5.40923917e+00,-7.88185256e-02,-5.40923917e+00,-1.22294133e+00,-5.03749114e+00,-5.90485799e-01,-5.03749114e+00
-7.88185256e-02,-5.40923917e+00,5.53637006e-01,-5.40923917e+00,1.16620982e-01,-4.80773822e+00,7.49076514e-01,-4.80773822e+00
-7.88185256e-02,-5.40923917e+00,-5.90485799e-01,-5.03749114e+00,1.16620982e-01,-4.80773822e+00,-3.95046292e-01,-4.43599018e+00
-1.41838084e+00,-4.43599018e+00,-1.22294133e+00,-5.03749114e+00,-1.22294133e+00,-3.83448923e+00,-1.02750182e+00,-4.43599018e+00
-1.22294133e+00,-5.03749114e+00,-5.90485799e-01,-5.03749114e+00,-1.02750182e+00,-4.43599018e+00,-3.95046292e-01,-4.43599018e+00
2.28407833e+00,-4.43599018e+00,2.91653387e+00,-4.43599018e+00,1.77241106e+00,-4.80773822e+00,2.40486659e+00,-4.80773822e+00
2.28407833e+00,-4.43599018e+00,2.91653387e+00,-4.43599018e+00,2.47951784e+00,-3.83448923e+00,3.11197337e+00,-3.83448923e+00
2.28407833e+00,-4.43599018e+00,1.77241106e+00,-4.80773822e+00,1.77241106e+00,-4.06424215e+00,1.26074379e+00,-4.43599018e+00
2.28407833e+00,-4.43599018e+00,1.77241106e+00,-4.06424215e+00,2.47951784e+00,-3.83448923e+00,1.96785057e+00,-3.46274120e+00
1.77241106e+00,-4.06424215e+00,1.26074379e+00,-4.43599018e+00,1.96785057e+00,-3.46274120e+00,1.45618330e+00,-3.83448923e+00
4.32848748e-01,-3.83448923e+00,1.06530428e+00,-3.83448923e+00,6.28288256e-01,-4.43599018e+00,1.26074379e+00,-4.43599018e+00
4.32848748e-01,-3.83448923e+00,1.06530428e+00,-3.83448923e+00,6.28288256e-01,-3.23298827e+00,1.26074379e+00,-3.23298827e+00
4.32848748e-01,-3.83448923e+00,6.28288256e-01,-4.43599018e+00,-7.88185256e-02,-4.20623726e+00,1.16620982e-01,-4.80773822e+00
